date,G,PG,PG-13,R,Not Rated,20th Century Fox,All Others,Lionsgate,Paramount Pictures,Sony Pictures,STX Entertainment,Universal,Walt Disney,Warner Bros.,daily_total
2/14/2018,0,3549252,6834697,14250183,1905,2656260,3655774,328509,12250,3701810,748088,10965130,332253,2235963,24636037
2/15/2018,0,1843389,2822655,4663233,635,1106041,1637420,120441,6857,1737092,197671,3190175,176530,1157685,9329912
2/16/2018,0,6852531,82818898,8018881,4762,2509086,3046352,1177881,0,6041565,280857,5735035,76274155,2630141,97695072
2/17/2018,0,11660091,77253866,10964928,3911,4171311,4896096,1732680,0,10824040,462673,7082420,66635478,4078098,99882796
2/18/2018,0,9574327,68858021,8063733,2145,3264466,3935379,1469334,0,9006491,392316,4779155,60597400,3053685,86498226
2/19/2018,0,9171431,45981580,4292837,2289,2703075,2533326,1293265,0,8037025,226045,2179205,40568274,1907922,59448137
2/20/2018,0,3098604,23828883,2841405,180,1166080,1448522,497609,0,2729620,150404,1630955,21000583,1145299,29769072
2/21/2018,0,2029478,16781960,2255608,280,836066,1159728,327153,0,1771468,120434,1249855,14811102,791520,21067326
2/22/2018,0,2178542,16214137,2119459,270,790633,1084650,323529,0,1916801,91833,1202720,14379592,722650,20512408
2/23/2018,0,4415766,33707468,13365305,7967,1522818,2961333,490165,3866815,4239247,133197,2384535,29012143,6886253,51496506
2/24/2018,0,8961674,55737779,17539626,11871,2678811,5410048,1077236,4162632,8510504,229104,3129845,47991304,9061466,82250950
2/25/2018,0,6127230,40266043,11477250,9822,1655449,3268670,816389,3042137,5830090,159118,1797220,35614995,5696277,57880345
2/26/2018,0,1136678,9372784,3513368,6043,455999,1091134,138673,974161,883645,57523,586605,8166633,1674500,14028873
2/27/2018,0,1445174,12021769,4763948,4476,668735,1276546,191981,1212858,1303588,69446,783530,10281098,2447585,18235367
2/28/2018,0,1049148,8218264,3605202,3891,483497,1099272,143229,905503,898494,58252,610000,6948978,1729280,12876505
3/1/2018,0,1034853,7855886,3359083,3664,472034,1006560,140065,822636,918444,47846,566110,6680334,1599457,12253486
3/2/2018,0,3114230,19045169,17486199,8278,7156937,6514160,159814,1531802,3149364,80638,1080940,16420467,3559754,39653876
3/3/2018,0,6677304,35462894,23500276,12734,8907726,9249080,347467,2479970,6929861,133902,1540600,30381740,5682862,65653208
3/4/2018,0,4387778,22861000,14016658,4246,5244142,5422916,290512,1596130,4430712,84772,847065,20197179,3156254,41269682
3/5/2018,0,952519,5543785,4884102,3682,1823387,1921141,77097,551529,871702,31614,316225,4779226,1012167,11384088
3/6/2018,0,1327540,7385845,6704792,4949,2528560,2544731,103953,723521,1271674,38949,415815,6320604,1475319,15423126
3/7/2018,0,993646,4851312,4756981,3462,1761687,1818682,85803,559748,906726,36066,330890,4002927,1102872,10605401
3/8/2018,0,1019253,4997333,4476417,4195,1636334,1638046,78637,515072,910729,28932,280820,4310988,1097640,10497198
3/9/2018,0,12384885,12128739,14144187,4677,2982020,8416046,64187,870823,2164303,1002175,441980,20360296,2360658,38662488
3/10/2018,0,18024095,21750346,19776300,7345,5096321,10851780,98572,1413508,4428092,1059802,584925,32225562,3799524,59558086
3/11/2018,0,12225067,14614308,12378673,4988,3040425,6853888,81753,1017988,2956998,735158,341115,21921658,2274053,39223036
3/12/2018,0,3870050,4877695,4683097,1437,1200267,2498043,51652,406335,1165230,296959,151930,6747244,914619,13432279
3/13/2018,0,5453360,6293167,6111930,3867,1611581,3247229,62878,503871,1584449,394123,188230,9069514,1200449,17862324
3/14/2018,0,3884359,4690091,4531447,3115,1192506,2339979,54629,403166,1261031,286382,157270,6479678,934371,13109012
3/15/2018,0,3577624,4367068,3882682,4328,1030933,2014515,56984,334538,1169368,202448,136255,6051747,834914,11831702
3/16/2018,0,12771926,22583086,7271366,3281,6434041,10380111,40251,492536,1894298,211210,210765,12176372,10790075,42629659
3/17/2018,0,15941467,26553097,9991238,5012,6732253,11597691,50705,704041,3010294,275496,250730,18697651,11171953,52490814
3/18/2018,0,11492505,17843356,6622704,3171,4657024,8604454,38933,537028,1930422,202692,149040,12392653,7449490,35961736
3/19/2018,0,3314000,5503420,2449320,2729,1615555,3014786,11641,212482,533424,94086,69645,3316461,2401389,11269469
3/20/2018,0,4782827,7462804,3256097,1701,2172567,4080324,15799,258316,726228,127106,79880,4551383,3491826,15503429
3/21/2018,0,3434518,5117547,2516447,2941,1614873,3011194,14987,225943,571374,96040,73915,3221806,2241321,11071453
3/22/2018,0,3523997,5071344,2289235,1195,1605762,2902133,17585,193316,566121,77231,61445,3378676,2083502,10885771
3/23/2018,0,9582641,24227731,5026128,2208,3266295,8940944,10925,3048391,2409884,10167,10422630,6637261,4092211,38838708
3/24/2018,0,15309071,30727522,7067924,2651,4572526,11758716,19189,4981705,3432739,15555,10704105,11333631,6289002,53107168
3/25/2018,0,11059836,20888259,4427995,2327,2992580,8339202,12099,3473042,2716228,10512,7293510,7562048,3979196,36378417
3/26/2018,0,3902268,7260243,1756397,2202,1199509,3024390,5429,1135554,1096257,3926,2198555,2774841,1482649,12921110
3/27/2018,0,5946865,9924262,2272875,1486,1611142,4152223,7705,1783345,1625465,4853,2980165,3874939,2105651,18145488
3/28/2018,0,4172040,7063494,1439618,2822,1160931,3475503,7533,1194350,1218863,4682,1583435,2777431,1255246,12677974
3/29/2018,0,4887303,19550510,1378796,2970,1388190,3469112,8709,1498825,1183102,3354,1706355,3280491,13281441,25819579
3/30/2018,0,10968267,29385695,9947309,218078,2514241,8177371,7271363,3146632,2367510,3139,3315090,6044376,17679627,50519349
3/31/2018,0,9725129,30424324,9014694,228887,2357773,8270643,6140605,2471019,2165149,3297,3571515,6055914,18357119,49393034
4/1/2018,0,7296249,21752280,5904609,228748,1502998,6342318,3758739,1729814,1725505,2724,2528270,4370358,13221160,35181886
4/2/2018,0,4940396,10836048,2704988,82775,1051681,3059993,1703903,1658533,1068191,1245,1173300,2630516,6216845,18564207
4/3/2018,0,5129922,11274901,2809027,89313,1043743,3211022,1909964,1577369,1044502,1475,1284420,2718484,6512184,19303163
4/4/2018,0,4167131,8735301,2089559,58849,900467,2586984,1304112,1313906,859412,1231,943895,2262463,4878370,15050840
4/5/2018,0,3584298,7462991,1712282,47716,693833,2096414,1195894,1112891,753966,1148,800855,2050609,4101677,12807287
4/6/2018,59728,6613283,34856676,11160228,80452,1078122,7977748,2464441,20316043,869913,0,9058775,3321878,7683447,52770367
4/7/2018,55823,10278036,43944857,13333048,120024,1553998,11095613,3688143,21658375,1402591,0,10414525,5444849,12473694,67731788
4/8/2018,43364,6185342,27423623,7520858,78244,837970,6697241,2228399,13820773,908344,0,5910295,3344517,7503892,41251431
4/9/2018,18237,1379314,8284171,2341075,22930,229561,2006540,639204,4433140,270818,0,1749095,817455,1899914,12045727
4/10/2018,25125,2145958,11118051,3244006,35820,315430,2818539,862715,5766818,356607,0,2513565,1211440,2723846,16568960
4/11/2018,25450,1387965,9274111,2335104,21567,230852,2143849,530673,3938709,245448,0,1641540,829115,3484011,13044197
4/12/2018,25189,1247787,7084236,2127998,13809,188671,1895722,477322,3864663,225122,0,1489950,815457,1542112,10499019
4/13/2018,35129,2935024,30047172,13648898,15380,422701,5432572,1085108,10955545,280547,0,11942780,1787296,14775054,46681603
4/14/2018,48477,5148542,39957139,14414486,23870,607870,7986097,1620602,14589549,496045,0,12017780,3103547,19171024,59592514
4/15/2018,45255,4045443,28710121,8467928,18266,410556,6218499,946988,9932071,408590,0,6929145,2310708,14130456,41287013
4/16/2018,25653,1192629,7916542,2599188,5333,138023,1980883,306253,2930644,118716,0,2053990,665957,3544879,11739345
4/17/2018,23479,1346887,9796612,3269547,7224,152468,2348523,383440,3384920,132359,0,2635415,765689,4640935,14443749
4/18/2018,25198,988376,6740720,2269581,5019,134170,1794515,262063,2451448,105523,0,1775680,621106,2884389,10028894
4/19/2018,35336,1036822,6776954,2226281,3030,111643,1855597,234952,2555989,106346,0,1686605,682315,2844976,10078423
4/20/2018,37689,1762653,22781795,15246146,1518078,8153086,4856180,1947999,6712513,183485,6199651,4795510,1416000,7081937,41346361
4/21/2018,51230,3066609,33349415,14528662,760911,4742393,6103975,2445417,10027124,325925,6011268,6837795,2574477,12688453,51756827
4/22/2018,41900,1989398,20605671,8386150,398565,3004999,3756771,1513451,5589764,233856,3819299,3580350,1698865,8224329,31421684
4/23/2018,16124,524238,5664031,2683685,1498,1027036,1106361,473185,1607805,64202,1198723,1037655,512329,1862280,8889576
4/24/2018,12321,693726,8012158,3363787,923,1122178,1453381,633737,2144582,76288,1811048,1437630,726083,2677988,12082915
4/25/2018,16579,581530,5734605,2387689,1406,810374,1213906,404048,1550431,67766,1271988,1004260,673325,1725711,8721809
4/26/2018,21891,511804,4555549,1704749,957,592648,933282,282097,1344915,68775,1131584,692045,579982,1169622,6794950
4/27/2018,36532,916858,116758417,4152905,3391,1199341,1426628,628145,3440245,95490,2579441,1923635,108061455,2513723,121868103
4/28/2018,40089,1360337,97858650,6031057,2466,1670851,2153843,989237,5077032,172457,3374362,2811525,84668414,4374878,105292599
4/29/2018,35661,883626,79565907,3818711,1546,1116726,1567748,677789,3161643,129029,2222954,1612750,70686598,3130214,84305451
4/30/2018,18746,254650,27813828,1333607,1040,394386,607129,234132,938997,21330,717175,538855,25218293,751574,29421871
5/1/2018,13456,294021,27496957,1671044,2457,449128,698615,312742,1195336,24887,1063254,727415,23946279,1060279,29477935
5/2/2018,16851,239831,19848173,1227032,1298,351170,582681,210302,876232,20969,745820,507335,17349941,688735,21333185
5/3/2018,20475,251941,18425413,1138930,865,341296,569205,185687,937488,24031,751716,470635,15890221,667345,19837624
5/4/2018,29877,620357,43117243,4136360,18673,617263,2665178,5156539,2423185,208229,1621161,1148155,32517622,1565178,47922510
5/5/2018,35124,945761,61774129,5043578,28745,808833,2985305,5600584,3417845,327745,1987520,1623985,48391102,2684418,67827337
5/6/2018,27809,635398,48286843,3585477,18420,590016,2384617,5135186,2320473,238126,1441839,949345,37531580,1962765,52553947
5/7/2018,19876,207118,11508661,1332207,5998,233495,899308,1291032,724421,67874,462629,331205,8564680,499216,13073860
5/8/2018,20349,287489,15237403,1805646,6078,286679,1192804,1770962,996726,106199,736405,468675,11033106,765409,17356965
5/9/2018,21859,235505,10221417,1362675,11052,235336,982487,1112362,750692,73371,530279,331655,7321121,515205,11852508
5/10/2018,22104,227617,10021256,1143090,6831,206286,876662,1144151,758958,68114,468460,264725,7164643,468899,11420898
5/11/2018,22874,560894,32454185,2039029,45583,337932,1495314,2286576,1900045,122811,971427,5219275,16734956,6054229,35122565
5/12/2018,43877,1028750,49894910,3039131,51820,484409,2368098,3713202,2946280,192321,1427167,6646460,28265882,8014669,54058488
5/13/2018,45147,1100558,43490599,2161204,35240,262104,2051444,4347628,2015292,179657,1406843,7857100,20311196,8401484,46832748
5/14/2018,20257,367795,9545402,768814,10789,129990,785488,785940,652399,44297,326214,1462190,4873038,1653501,10713057
5/15/2018,27190,440261,12785218,954288,10264,150864,912716,1075471,837453,58351,471482,1956685,6322665,2431534,14217221
5/16/2018,22212,441937,8673950,797887,13719,123321,874901,684722,682065,48975,346749,1118085,4461997,1608890,9949705
5/17/2018,25542,229102,6957447,508694,11576,79800,530750,540210,515407,34614,241999,893775,3635862,1259944,7732361
5/18/2018,92842,760094,21074313,54133724,24201,53507579,2585309,1189126,5966912,64640,345439,2096645,7577887,2751637,76085174
5/19/2018,121791,559557,32213005,41989905,39919,41026612,3914009,1949012,6650767,105191,525066,3263430,13254634,4235456,74924177
5/20/2018,112385,470435,23481759,33041665,23537,32377439,2759157,1603718,5206480,78135,395308,2179735,9641570,2888239,57129781
5/21/2018,68116,170949,7664805,12335478,9654,12067651,848136,380120,2338230,23046,149605,658700,2805114,978400,20249002
5/22/2018,48808,196324,9764604,12764140,10862,12456545,925631,590504,3347996,26843,183182,966845,2970177,1317015,22784738
5/23/2018,61142,180944,6655466,8343209,11976,8082675,678196,377237,2455153,23006,135052,598625,2002405,900388,15252737
5/24/2018,47442,161538,6171517,7017682,11690,6814592,632538,325457,2217562,19034,95024,520000,1996103,789559,13409869
5/25/2018,48976,519466,47487370,12722110,25158,12296267,1530975,738701,3405514,25207,135151,1193300,39796100,1681865,60803080
5/26/2018,79268,388987,42449612,16849013,42201,16207688,2066134,1139066,4568108,44477,198333,1774610,31359226,2451439,59809081
5/27/2018,80368,388344,42767370,16256693,42814,15599254,2203878,1342415,4784427,40315,178089,1635655,31272303,2479253,59535589
5/28/2018,69653,354479,32985363,10885085,33626,10417197,1807434,1029086,3811914,36660,139747,1276565,23943290,1866313,44328206
5/29/2018,45157,140595,14151052,5591372,11257,5382248,740474,396976,2331662,13246,82849,663340,9348214,980424,19939433
5/30/2018,37008,146726,10285090,4095008,12646,3893942,680241,287846,1991497,11358,65444,483855,6388650,773645,14576478
5/31/2018,38709,145042,9436151,3792551,14864,3608611,639022,261892,1860657,10104,60001,401860,5906343,678827,13427317
6/1/2018,42048,175716,21010997,9699376,20480,6788888,2585858,517620,3457868,10890,4359367,860195,11050472,1317459,30948617
6/2/2018,66267,242011,29585473,13082695,31405,9856969,3098702,815469,4509052,16462,4434559,1369825,16994210,1912603,43007851
6/3/2018,56864,194361,21126902,9264202,20169,6834017,2361969,666066,3396815,11781,3106679,807130,12237739,1240302,30662498
6/4/2018,33298,90155,8062917,3747124,8605,2662760,1072134,221820,1646745,4707,1266613,350435,4179491,537394,11942099
6/5/2018,33202,121139,11312545,4767859,9348,3425538,1337560,330588,2391010,11040,1848901,494610,5602431,802415,16244093
6/6/2018,37794,107052,7640054,3267130,10298,2284974,1040437,225773,1811187,5161,1161062,309110,3670226,554398,11062328
6/7/2018,37786,99102,6916384,2989989,9743,2205186,907003,176923,1493726,4793,965597,249770,3615776,434230,10053004
6/8/2018,56663,118249,26479366,11295607,8626,3845862,7627974,294784,1861262,5605,1575415,406290,5958826,16382493,37958511
6/9/2018,75428,163445,31617123,13602374,14924,5957793,7859524,453967,2534132,8022,2173899,670880,9649585,16165492,45473294
6/10/2018,62797,138416,24228854,10690524,10293,4458406,6431624,413110,2034740,7696,1661978,461185,7619217,12042928,35130884
6/11/2018,39072,63950,9540984,4475806,5529,1715096,2864638,129228,1013357,0,692797,190495,2757558,4762172,14125341
6/12/2018,42003,81807,12965684,5358182,5217,2080352,3404297,201660,1399119,0,943241,261310,3491197,6671717,18452893
6/13/2018,50096,70108,9267766,5384930,5293,1613723,2702943,128592,1156813,1202734,705491,156940,2550504,4560453,14778193
6/14/2018,40441,90426,7235282,4279377,4892,1344186,2128734,82864,853159,938583,481836,102605,2197084,3521367,11650418
6/15/2018,50812,72031738,12257659,13077519,606567,2347956,4454001,112888,716550,1882219,713583,132475,76001825,11662798,98024295
6/16/2018,63805,59600569,15867437,14768409,656253,3307824,5246411,154007,873749,2423948,878807,170905,65225109,12675713,90956473
6/17/2018,58855,52796614,13834705,13469351,490886,3068619,4202396,168552,597406,2564573,662348,127815,58728068,10530634,80650411
6/18/2018,37879,23735487,5389905,5391391,4859,1104682,1861534,62805,444723,818853,354574,57890,25479575,4374885,34559521
6/19/2018,51591,27172453,7152054,6528677,4338,1341683,2187694,93238,614703,933254,461052,83480,29363592,5830417,40909113
6/20/2018,49105,19831625,5326245,4908008,4398,1036775,1800954,60142,514687,624364,369615,58670,21474058,4180116,30119381
6/21/2018,52407,16496377,4501967,3942789,4524,870260,1370211,40561,420999,527867,254375,40675,17897658,3575458,24998064
6/22/2018,47816,24182122,65887304,6553639,12000,1505810,2282659,164582,314077,969384,229451,58685925,26187456,6343537,96682881
6/23/2018,65366,31478128,60035618,9200265,14553,2212794,3103487,217912,465537,1409813,330602,49879245,34495775,8678765,100793930
6/24/2018,48142,24818054,46743889,6735251,10115,1573567,2292703,170485,342725,1025767,227876,39828095,26914199,5980034,78355451
6/25/2018,37677,10433419,17869017,3010329,5009,643274,1151259,142180,190769,439097,122114,14759815,11313758,2593185,31355451
6/26/2018,46269,13740889,22607779,3862712,5716,818743,1356619,151374,255064,533684,166174,18436205,14906489,3639013,40263365
6/27/2018,38319,10252861,15642059,3061191,0,658805,1185117,149107,227300,394860,122958,12301615,11152912,2801756,28994430
6/28/2018,40445,10072919,14705260,2661625,0,613808,1074409,154329,202938,290119,112741,11415545,10961579,2654781,27480249
6/29/2018,45454,13667370,28653844,11583163,796778,1797517,1810577,6183439,236157,7887808,166780,17441795,14796348,4426188,54746609
6/30/2018,49678,17849426,36078168,11795151,1028366,2456976,2490886,5256650,342428,6761664,218697,23920935,19461351,5891202,66800789
7/1/2018,41716,15169387,29292147,9918199,927739,2055479,2201384,4002818,282429,5761152,152899,19770045,16445929,4677053,55349188
7/2/2018,31665,7704622,13382568,4577230,489888,1096475,1134072,1845605,173627,2352161,89127,8596415,8449776,2448715,26185973
7/3/2018,30730,10326822,18323644,5594975,606720,1308023,1507664,2534267,194706,2818957,111203,11913890,11323211,3170970,34882891
7/4/2018,27279,9722316,18163128,14649550,627043,1303745,1575993,2218060,228622,2824469,119985,20828720,10710517,3379205,43189316
7/5/2018,37053,7228414,11377108,8079979,296038,696254,1179078,1624958,160658,1825140,76742,11707455,7820597,1927710,27018592
7/6/2018,42761,9872007,48888288,11264725,376704,903810,2446129,2167555,176715,2470897,95070,15265475,44100037,2818797,70444485
7/7/2018,49454,10793940,41824663,12769021,497793,1173596,2858018,2562448,225166,3160058,119241,17392960,35017051,3426333,65934871
7/8/2018,38961,8150896,32191342,9939819,419045,879134,2146555,1876640,167725,2619928,73655,13453060,27140419,2382947,50740063
7/9/2018,28179,3589540,12747815,4525912,147481,381125,986631,837765,92091,1007175,34949,5761870,10803052,1134269,21038927
7/10/2018,30328,5357929,18259145,5634802,247149,536597,1144879,1240048,124844,1278969,47025,7875780,15689007,1592204,29529353
7/11/2018,33849,3663822,11572160,4000153,131499,354011,1005269,806921,110240,922871,38296,5215930,9752748,1195197,19401483
7/12/2018,39126,3410263,10199313,3417910,102963,262827,856290,652043,91159,814367,35419,4681015,8889117,887338,17169575
7/13/2018,28502,21947622,25509951,6673265,150619,379845,3162928,936081,103716,18071177,57946,16910525,13417185,1270556,54309959
7/14/2018,26881,22287592,32023618,8142030,211852,552786,3890785,1303220,148738,16931247,78328,19175395,18791837,1819637,62691973
7/15/2018,20415,17276635,23848962,6378324,161505,368340,3106728,947324,117715,13323506,44733,14331055,14194765,1251675,47685841
7/16/2018,0,7411861,9794358,2997346,54525,157759,1363529,435049,60838,5562041,21526,6032975,5968819,655554,20258090
7/17/2018,0,12097267,14798506,3820243,111333,237873,1636390,663531,80943,9215810,31183,8912700,9122981,925938,30827349
7/18/2018,0,7071890,9295345,2786188,57525,151912,1344505,423929,70025,5246629,23243,5596465,5710239,644001,19210948
7/19/2018,0,6552191,8065851,2223722,44644,119714,1160288,326300,64674,4714744,19853,4782690,5235474,462671,16886408
7/20/2018,0,10201386,26954967,18625419,77494,190667,3706326,579237,77144,20679180,22259,22005360,7882104,716989,55859266
7/21/2018,0,14376829,29663765,19006539,111534,290394,4477880,726226,108104,22790661,29471,22104965,11620575,1010391,63158667
7/22/2018,0,12005529,24735921,15081752,86594,218416,3799193,539819,86741,18318482,23182,18570610,9594790,758563,51909796
7/23/2018,0,5255228,11364084,6166407,23871,89638,1801062,255597,46277,7254134,9245,8762450,4207958,383229,22809590
7/24/2018,0,8021836,15883420,8014399,46680,128348,2132178,335972,60990,10684807,12375,12166305,5967213,478147,31966335
7/25/2018,0,5700685,11483204,5498994,25411,94377,1811325,250125,56216,6994991,9493,8762415,4341208,388144,22708294
7/26/2018,0,4691374,9184797,4050642,17169,66270,1322901,171205,54170,5531270,8937,6932565,3592775,263889,17943982
7/27/2018,0,10265137,34688275,7032986,28041,100315,2185941,601794,22861178,7926371,11382,8976400,4831008,4520050,52014439
7/28/2018,0,11472124,37132674,9417855,45432,147734,2827002,680056,21500858,10901608,14703,11462415,6641188,3892521,58068085
7/29/2018,0,8655303,29214458,7025435,34330,109466,2105600,483487,17069641,8146542,8905,8947870,5111415,2946600,44929526
7/30/2018,0,4269874,12939100,3035810,11667,46732,1101807,245716,6873270,3532989,4367,4596255,2513001,1342314,20256451
7/31/2018,0,6858768,18398130,4169893,23185,65304,1359066,360242,9489462,5485308,6732,6753930,3680361,2249571,29449976
8/1/2018,0,4911627,13036291,3072597,15671,52128,1235368,269507,6360901,3885789,4956,5017725,2790348,1419464,21036186
8/2/2018,0,4091825,11156056,2428237,10162,40274,911008,197845,5666673,3330379,8253,3949615,2433718,1148515,17686280
8/3/2018,0,14911151,20239193,9544799,40891,2387801,2874528,5261999,9865252,4958545,0,4876190,12947360,1564359,44736034
8/4/2018,0,16069744,27263704,10351915,60728,2104214,3232488,4455757,14752485,7093583,0,6464650,13493316,2149598,53746091
8/5/2018,0,11636598,20113900,7624674,48744,1559723,2474510,3241000,10753945,5087688,0,4796935,9973353,1536762,39423916
8/6/2018,0,5959832,9284242,3573879,21447,786432,1293502,1551223,4469991,2411196,0,2565155,4925460,836441,18839400
8/7/2018,0,8530629,12050980,4517945,26144,1147463,1432931,2105042,5674262,3336801,0,3399865,6849045,1180289,25125698
8/8/2018,0,6254802,8196606,3400812,15964,679934,1984563,1445263,3690819,2334614,0,2403680,4570907,758404,17868184
8/9/2018,0,5280495,6993402,2633090,10369,503281,1339226,1226078,3356219,1924114,0,1956135,4036853,575450,14917356
8/10/2018,0,7260340,31689295,7819604,12779,661325,5619112,1948233,5320219,7745338,0,2537285,5771036,17179470,46782018
8/11/2018,0,10980811,35790014,10586158,18496,943808,7112714,2889837,8401242,8446764,0,3611020,8758310,17211784,57375479
8/12/2018,0,7883981,26141929,7489815,13362,643568,5241887,1933999,5630629,5903751,0,2659915,6284447,13230891,41529087
8/13/2018,0,3755177,10530618,3081034,3760,303535,2299900,808368,2110799,2735466,0,1344200,2904959,4863362,17370589
8/14/2018,0,5389982,14138879,4018406,7991,443184,2916069,1144431,3285530,3405189,0,1833895,4076251,6450709,23555258
8/15/2018,0,3210447,13133516,2565116,2657,211283,1862667,635759,1835262,2055342,0,1116040,2562761,8632622,18911736
8/16/2018,0,2839589,11211584,2535983,3250,148492,1942176,534169,1687756,1827833,0,1009735,2283862,7156383,16590406
